year,industrial,residential,commercial,other
2019,0.15894,0.2974,0.19426000000000002,0.1766
2020,0.160065,0.2864,0.19563500000000003,0.17785
2021,0.15624000000000002,0.30784999999999996,0.19096000000000002,0.1736
2022,0.24669000000000002,0.37085,0.30151000000000006,0.2741
2023,0.21564,0.28295000000000003,0.26356,0.23959999999999998
2024,0.18864,0.2918,0.23056000000000001,0.2096
2025,0.19116,0.3148,0.23364000000000001,0.2124
