Year,Value
2015,329.76166666666666
2016,273.8233333333333
2017,325.07
2018,285.4841666666667
2019,235.745
2020,185.3575
2021,180.34166666666667
2022,208.98083333333332
2023,156.93166666666667
2024,129.1341666666667
2025,138.45833333333334
2026,
