node,00-06_weight,00-06_type,06-12_weight,06-12_type,12-18_weight,12-18_type,18-24_weight,18-24_type
8001,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8002,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8003,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8004,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8005,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8006,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8007,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8008,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8009,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8010,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8011,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8012,0.0012247526243340213,4g,0.001806812635942471,4g,0.004840763379538884,5g,0.02278959519474036,5g
8013,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8014,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8015,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8016,0.0012247526243340213,4g,0.001806812635942471,4g,0.004840763379538884,5g,0.02278959519474036,5g
8017,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8018,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8019,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8020,0.0012247526243340213,4g,0.001806812635942471,4g,0.004840763379538884,5g,0.02278959519474036,5g
8021,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8022,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8023,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8024,0.0012247526243340213,4g,0.001806812635942471,4g,0.004840763379538884,5g,0.02278959519474036,5g
8025,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8026,0.0012247526243340213,4g,0.001806812635942471,4g,0.004840763379538884,5g,0.02278959519474036,5g
8027,0.0012247526243340213,4g,0.001806812635942471,4g,0.004840763379538884,5g,0.02278959519474036,5g
8028,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8029,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8030,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8031,0.0012247526243340213,4g,0.001806812635942471,4g,0.004840763379538884,5g,0.02278959519474036,5g
8032,0.0012247526243340213,4g,0.001806812635942471,4g,0.004840763379538884,5g,0.02278959519474036,5g
8033,0.0012247526243340213,4g,0.001806812635942471,4g,0.004840763379538884,5g,0.02278959519474036,5g
8034,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8035,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8036,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8037,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8038,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.02278959519474036,5g
8039,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.021431842913862253,4g
8040,0.0012247526243340213,4g,0.0026187686006542282,5g,0.004840763379538884,5g,0.021431842913862253,4g
8041,0.0012247526243340213,4g,0.001806812635942471,4g,0.004840763379538884,5g,0.02278959519474036,5g
8042,0.0012247526243340213,4g,0.001806812635942471,4g,0.004840763379538884,5g,0.02278959519474036,5g
