node,cluster,type,peak_hour,energy_00_06,energy_06_12,energy_12_18,energy_18_24,industry_ratio,residential_ratio,commercial_ratio
8001,7,下午高峰型,12-18,-0.37012648589138525,0.005961025113765661,0.23883691967109064,0.12552907031167895,0.3333604954367666,0.3333604954367666,0.33327900912646674
8002,3,下午高峰型,12-18,-0.31328601815450763,0.02411704061932151,0.22380321843523668,0.0655756396718991,0.33327902240325863,0.33319755600814666,0.33319755600814666
8003,3,下午高峰型,12-18,-0.30082534521529786,0.013265554074465941,0.19898198737131298,0.08886303494096076,0.33314346163235414,0.33314346163235414,0.3330620880462202
8004,5,下午高峰型,12-18,-0.4338924338789793,0.1203880530656001,0.260444681243088,0.053196563164535866,0.3333604954367666,0.3333604954367666,0.33327900912646674
8005,3,下午高峰型,12-18,-0.32318654434806254,0.029919264281560574,0.2003337608297183,0.09331030331646709,0.3185460372960373,0.3185460372960373,0.3185460372960373
8006,2,下午高峰型,12-18,-0.3449509782444571,0.050197725383054344,0.2212080140585354,0.07367131242548713,0.2500152783719367,0.2500152783719367,0.24995416488418995
8007,2,下午高峰型,12-18,-0.30468526156649073,0.04276942596995995,0.22268803214130725,0.039320660413629055,0.2500152783719367,0.2500152783719367,0.24995416488418995
8008,2,下午高峰型,12-18,-0.32419391506289574,0.04564923838746028,0.24189368366168496,0.036746026686871144,0.2500152783719367,0.2500152783719367,0.24995416488418995
8009,5,下午高峰型,12-18,-0.4541330092373278,0.06187374449374487,0.30387932459030653,0.08856553022015486,0.3333604954367666,0.3333604954367666,0.33327900912646674
8010,5,下午高峰型,12-18,-0.4054348605446958,0.05237019383942009,0.285151101571844,0.06827552026008633,0.33314346163235414,0.33314346163235414,0.3330620880462202
8011,6,下午高峰型,12-18,-0.3027340518001137,0.008448802601742243,0.1867826571572052,0.10759247744847013,0.2913233875157723,0.29124916499666,0.29124916499666
8012,1,下午高峰型,12-18,-0.47702487536454463,-0.029721288043421758,0.27421920820244383,0.23302214689614925,0.33322480872537846,0.33322480872537846,0.33322480872537846
8013,1,下午高峰型,12-18,-0.45308657846860756,0.00574433873687964,0.27121559843099324,0.17623758721651456,0.32677475208562884,0.32669604911065636,0.32669604911065636
8014,7,下午高峰型,12-18,-0.41277992427487836,0.03408862232244533,0.22725804449655115,0.15172407853151756,0.3331734228831854,0.33309346765811143,0.33309346765811143
8015,7,下午高峰型,12-18,-0.41044172714003546,0.03647990417888115,0.235631564401538,0.13867429341945045,0.3121799153863282,0.3121799153863282,0.3121056928672159
8016,1,下午高峰型,12-18,-0.47509890560804874,-0.05121181354584425,0.2972271070523373,0.22940470732117604,0.3333604954367666,0.3333604954367666,0.33327900912646674
8017,6,下午高峰型,12-18,-0.3427416070771912,0.05629033098811616,0.2150439255102751,0.07153966382611128,0.2761602957681389,0.2761602957681389,0.2760942760942761
8018,2,下午高峰型,12-18,-0.28687384733784277,0.0694639537806643,0.1907718911722707,0.026710733280385514,0.2500152783719367,0.2500152783719367,0.24995416488418995
8019,8,下午高峰型,12-18,-0.5253381343585779,0.04256215266107924,0.32816612081105306,0.15486817651053866,0.3333604954367666,0.3333604954367666,0.33327900912646674
8020,3,下午高峰型,12-18,-0.30389276029127854,-0.02776962897282354,0.19084887060680514,0.14107216719289853,0.32685043799726754,0.3267700715261593,0.3267700715261593
8021,2,下午高峰型,12-18,-0.34854508689455765,0.04600722400407517,0.23822725742969572,0.06443180645865183,0.2500152783719367,0.2500152783719367,0.24995416488418995
8022,8,下午高峰型,12-18,-0.4737790674268471,0.04400964227112735,0.2869867631204791,0.14301597408652147,0.3333604954367666,0.3333604954367666,0.33327900912646674
8023,7,下午高峰型,12-18,-0.4291205210133728,0.02276595443155612,0.21925279299939276,0.1873563587467245,0.3333604954367666,0.3333604954367666,0.33327900912646674
8024,4,夜间高峰型,18-24,-0.41703531232806484,-0.03217377375143055,0.2204222130235275,0.2290586458238585,0.3333604821632188,0.3333604821632188,0.3332790356735625
