node,cluster,type,peak_hour,holiday_effect,weekend_effect,volatility,energy_00_06,energy_06_12,energy_12_18,energy_18_24
8001,1,"下午高峰型 / 主要部门时段: 商业, 商业, 商业, 商业",12-18,5.594709411270692e-09,-3.5022821886216593,-24.28747670328497,-0.37012648589138525,0.005961025113765661,0.23883691967109064,0.12552907031167895
8002,1,"下午高峰型 / 主要部门时段: 商业, 商业, 商业, 商业",12-18,6.164790372705306e-09,-3.5031384188706847,-32.67734395120736,-0.31328601815450763,0.02411704061932151,0.22380321843523668,0.0655756396718991
8003,1,"下午高峰型 / 主要部门时段: 商业, 商业, 商业, 商业",12-18,-5.7950407276332775e-09,-3.5071336401423827,-22.205979344516045,-0.30082534521529786,0.013265554074465941,0.19898198737131298,0.08886303494096076
8004,2,"下午高峰型 / 主要部门时段: 工业, 工业, 商业, 工业",12-18,-1.3977302563953289e-09,-3.5022828551373384,-46.60629857590879,-0.4338924338789793,0.1203880530656001,0.260444681243088,0.053196563164535866
8005,1,"下午高峰型 / 主要部门时段: 商业, 商业, 商业, 商业",12-18,-1.041602367185297e-08,-3.5056173362801095,28.039134289876888,-0.32318654434806254,0.029919264281560574,0.2003337608297183,0.09331030331646709
8006,1,"下午高峰型 / 主要部门时段: 商业, 商业, 商业, 商业",12-18,1.2002594468735517e-09,-3.5023539623796864,20.756255256537084,-0.3449509782444571,0.050197725383054344,0.2212080140585354,0.07367131242548713
8007,1,"下午高峰型 / 主要部门时段: 商业, 商业, 商业, 商业",12-18,3.2045366754921894e-09,-3.5023537865692176,12.316567602278441,-0.30468526156649073,0.04276942596995995,0.22268803214130725,0.039320660413629055
8008,1,"下午高峰型 / 主要部门时段: 商业, 商业, 商业, 商业",12-18,-2.5786240873969653e-09,-3.502353884844537,13.562295221948734,-0.32419391506289574,0.04564923838746028,0.24189368366168496,0.036746026686871144
8009,1,"下午高峰型 / 主要部门时段: 商业, 商业, 商业, 商业",12-18,6.304374163749762e-09,-3.5022827024524,62.6262795689648,-0.4541330092373278,0.06187374449374487,0.30387932459030653,0.08856553022015486
8010,1,"下午高峰型 / 主要部门时段: 商业, 商业, 商业, 商业",12-18,-8.999105572226469e-09,-3.5071341808551812,460.0026680269812,-0.4054348605446958,0.05237019383942009,0.285151101571844,0.06827552026008633
8011,1,"下午高峰型 / 主要部门时段: 商业, 商业, 商业, 商业",12-18,5.925639291462566e-09,-3.504941824590936,-5.243577705832586,-0.3027340518001137,0.008448802601742243,0.1867826571572052,0.10759247744847013
8012,0,"下午高峰型 / 主要部门时段: 住宅, 住宅, 住宅, 住宅",12-18,8.656956360993394e-10,-3.506277854944896,-79.54524573153834,-0.47702487536454463,-0.029721288043421758,0.27421920820244383,0.23302214689614925
8013,0,"下午高峰型 / 主要部门时段: 住宅, 住宅, 住宅, 住宅",12-18,2.876478992270681e-09,-3.5060699803609943,-14.18477752967398,-0.45308657846860756,0.00574433873687964,0.27121559843099324,0.17623758721651456
